Spring Mobile - AT&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp,1/31/2016,,8/27/2017,,,,NA
Store #,Store Name,Address,City,State,Zip,Market,Region,District,State,Open Date,Market VP,Region Director,District Manager,,Classification,Acquisition Name,Store Tier, Sq Ft , Sq Ft Range ,Closed Date,Status,Attribute,Base?,Comp?,Same?,,,1396,,,,Same,8/28/2016,,,,,,Base
1821,Paddock Park Mall,"3100 SW College Road, Ste 496",Ocala,FL,34474,South Market,Florida Region,Central Florida,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Bryan Gauvin,,Acquisition,Noble Comm,4,668, 500-1000 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1822,Bartram Park,13820 Old St Augustine Rd,Jacksonville,FL,32258,South Market,Florida Region,Saint Augustine,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,Acquisition,Noble Comm,4,"1,403", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1823,Ormond Beach,"1298 W Granada Blvd, Ste 8",Ormond Beach,FL,32174,South Market,Florida Region,Saint Augustine,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,Acquisition,Noble Comm,4,"1,400", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1824,New Smyrna Beach,1972 State Rd 44,New Smyrna Beach,FL,32168,South Market,Florida Region,Saint Augustine,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,Acquisition,Noble Comm,3,"1,518", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1825,Coral Ridge Mall,"3200 N Federal Hwy, Ste 605",Ft Lauderdale,FL,33306,,,,Florida,12/1/2015,,,,,Acquisition,Noble Comm,,,,1/28/2017,FY16 Closure,Acquisition - Noble Comm,,,,,,,,,,,,,,,,,
1826,Dunn Ave,"1680 Dunn Ave, Ste 45",Jacksonville,FL,32218,South Market,Florida Region,Jacksonville,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Mario Purifoy,,Acquisition,Noble Comm,4,"1,500", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1827,Ft Lauderdale,1814 Cordova Rd,Ft Lauderdale,FL,33316,South Market,Florida Region,Miami,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Joseph Deprizio,,Acquisition,Noble Comm,4,"1,254", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1828,Largo,"2401 E Bay Dr, Ste 3",Largo,FL,33771,South Market,Florida Gulf Region,South Tampa,Florida,12/1/2015,Brady Bowen,Mitch Nelson,Shane Parks,,Acquisition,Noble Comm,5,"1,610", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1829,Pinellas Park,6995 US Hwy 19 N,Pinellas Park,FL,33781,South Market,Florida Gulf Region,South Tampa,Florida,12/1/2015,Brady Bowen,Mitch Nelson,Shane Parks,,Acquisition,Noble Comm,5,"1,847", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1830,Deland,"305 E International Speedway Blvd, Ste A4",Deland,FL,32724,South Market,Florida Region,Saint Augustine,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,Acquisition,Noble Comm,2,"1,225", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,3,,,,,,,,,,,,,
1831,Anastasia Plaza,"1099 A1A Beach Blvd, Ste 33",Saint Augustine,FL,32080,South Market,Florida Region,Saint Augustine,Florida,12/1/2015,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,Acquisition,Noble Comm,4,"2,753", 2500-3000 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1832,Sebring,1310 US 27 North,Sebring,FL,33870,South Market,Florida Gulf Region,South Tampa,Florida,12/1/2015,Brady Bowen,Mitch Nelson,Shane Parks,,Acquisition,Noble Comm,1,"1,500", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,2,,,,,,,,,,,,,
