Dealer Code,Loc #,Location,Retail IQ,District,ATT Mkt Abbrev,ATT Market Name,Region,Market,Dispute Mkt,DF,C&C,WS,WS Expires,Footprint Level,Business Expert,DF Code,Old,Old 2,ATT Location Name,ATT Location ID,ATT Region,State,Notes,Notes2,Open Date,Close Date,DC Origin,Store Origin,Acquisition Origin,TB Loc,SMF Mapping,SMF Market,DC status,Sorting Rank,Rank Description,Company
4302B,2121,Naperville,2121 Naperville,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,MWQNQ,RCBD4,SPRING - NAPERVILLE,121585,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2121,2121,Chicago,Active,3,Open Standard,Spring
2WL6O,2128,Saint Charles,2128 Saint Charles,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,KX5QR,DDO7Q,SPRING - SAINT CHARLES,121600,CENTRAL,IL,201606 Midwest Cellular Acq,,6/1/2016,,Spring,Acquired,Midwest Cellular,2128,2128,Chicago,Active,3,Open Standard,Spring
QMNW2,2603,Yorktown Shopping Center,2603 Yorktown Shopping Center,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,,,REWZM,,SPRING - LOMBARD,122340,CENTRAL,IL,201608 Red Skye Acq,,8/1/2016,,Spring,Acquired,Red Skye,2603,2603,Greater Midwest,Active,3,Open Standard,Spring
7J9YS,2605,Chicago Neltnor,2605 Chicago Neltnor,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,5IEQA,,SPRING - WEST CHICAGO,122339,CENTRAL,IL,201608 Red Skye Acq,,8/1/2016,,Spring,Acquired,Red Skye,2605,2605,Greater Midwest,Active,3,Open Standard,Spring
YR2UO,2606,Wheaton,2606 Wheaton,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,,URBYD,,SPRING - WHEATON,122338,CENTRAL,IL,201608 Red Skye Acq,,8/1/2016,,Spring,Acquired,Red Skye,2606,2606,Greater Midwest,Active,3,Open Standard,Spring
0TWSZ,2629,Montgomery IL,2629 Montgomery IL,Chicago West,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Yes,12/31/2017,1,,,,,SPRING - MONTGOMERY,122585,CENTRAL,IL,201612 Whitespace,,12/8/2016,,Spring,Whitespace,Whitespace,2629,2629,Chicago,Active,3,Open Standard,Spring
USC7K,467,Bradley,467 Bradley,Illiana,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,MVT90,KJIP7,,SPRING - BRADLEY,107018,CENTRAL,IL,201305 Clearchoice Acq,,5/1/2013,,Spring,Acquired,ClearChoice Mobility - Chicago,467,467,Chicago,Active,3,Open Standard,Spring
IH6R3,480,LaPorte,480 LaPorte,Illiana,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,GRBR5,2PCOU,,SPRING - LA PORTE,112933,CENTRAL,IN,201312 Cartronix Acq,,12/1/2013,,Spring,Acquired,Cartronix,480,480,Chicago,Active,3,Open Standard,Spring
3XI92,481,Merrillville,481 Merrillville,Illiana,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,,VR0MW,NGUQN,,SPRING - MERRILLVILLE,112931,CENTRAL,IN,201312 Cartronix Acq,,12/1/2013,,Spring,Acquired,Cartronix,481,481,Chicago,Active,3,Open Standard,Spring
QAN7J,482,Portage,482 Portage,Illiana,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,,2CHJL,H44P0,,SPRING - PORTAGE,112927,CENTRAL,IN,201312 Cartronix Acq,,12/1/2013,,Spring,Acquired,Cartronix,482,482,Chicago,Active,3,Open Standard,Spring
2ZHDM,483,Valparaiso,483 Valparaiso,Illiana,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,3KJE6,H44A0,,SPRING - VALPARAISO,112930,CENTRAL,IN,201312 Cartronix Acq,,12/1/2013,,Spring,Acquired,Cartronix,483,483,Chicago,Active,3,Open Standard,Spring
RE88U,484,Schererville,484 Schererville,Illiana,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,Yes,YX4II,H44B0,,SPRING - SCHERERVILLE,112928,CENTRAL,IN,201312 Cartronix Acq,,12/1/2013,,Spring,Acquired,Cartronix,484,484,Chicago,Active,3,Open Standard,Spring
T930F,485,Munster,485 Munster,Illiana,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,Off,9/30/2015,1,Yes,TFYZQ,,,SPRING - MUNSTER,114789,CENTRAL,IN,201409 Whitespace,,9/3/2014,,Spring,Whitespace,Whitespace,485,485,Chicago,Active,3,Open Standard,Spring
