Dealer Code,Loc #,Location,Retail IQ,District,ATT Mkt Abbrev,ATT Market Name,Region,Market,Dispute Mkt,DF,C&C,WS,WS Expires,Footprint Level,Business Expert,DF Code,Old,Old 2,ATT Location Name,ATT Location ID,ATT Region,State,Notes,Notes2,Open Date,Close Date,DC Origin,Store Origin,Acquisition Origin,TB Loc,SMF Mapping,SMF Market,DC status,Sorting Rank,Rank Description,Company
SCCQ2,121,Riverdale Road,121 Riverdale Road,Utah North,RMR,ROCKY MOUNTAINS,Rocky Mountain,Central,Mountain Time Zone,,No,,,,,HXJVA,,,,,WEST,UT,OldSpring,,4/1/2001,11/30/2013,Spring,Spring,Base,121,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
MX026,206,American Fork,206 American Fork,Utah South,RMR,ROCKY MOUNTAINS,Rocky Mountain,Central,Mountain Time Zone,,,,,,,,,,,,WEST,UT,OldSpring,,4/1/2001,7/31/2009,Spring,Spring,Base,206,222,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
MX027,207,Pleasant Grove,207 Pleasant Grove,Utah South,RMR,ROCKY MOUNTAINS,Rocky Mountain,Central,Mountain Time Zone,,,,,,,,,,,,WEST,UT,OldSpring,,4/1/2001,1/31/2010,Spring,Spring,Base,207,222,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
MX028,208,South Jordan,208 South Jordan,Utah South,RMR,ROCKY MOUNTAINS,Rocky Mountain,Central,Mountain Time Zone,,,,,,,,,,,,WEST,UT,OldSpring,,4/1/2001,5/31/2010,Spring,Spring,Base,208,202,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
MX031,211,Riverton,211 Riverton,Utah South,RMR,ROCKY MOUNTAINS,Rocky Mountain,Central,Mountain Time Zone,,,,,,,W5UJS,,,,,WEST,UT,OldSpring,,4/1/2001,7/31/2013,Spring,Spring,Base,211,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
MX054,212,North Orem,212 North Orem,Utah South,RMR,ROCKY MOUNTAINS,Rocky Mountain,Central,Mountain Time Zone,,,,,,,,,,,,WEST,UT,OldSpring,,4/1/2001,6/30/2010,Spring,Spring,Base,212,222,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
22GHG,217,University Parkway,217 University Parkway,Utah South,RMR,ROCKY MOUNTAINS,Rocky Mountain,Central,Mountain Time Zone,,No,,,,,5RLLA,,,,,WEST,UT,OldSpring,,4/1/2001,6/30/2014,Spring,Spring,Base,217,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
22XKD,219,University Avenue,219 University Avenue,Utah South,RMR,ROCKY MOUNTAINS,Rocky Mountain,Central,Mountain Time Zone,,,,,,,,,,,,WEST,UT,OldSpring,SMF transferred in Jan 2012,4/1/2001,12/31/2010,Spring,Spring,Base,219,200,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
VB6ER,223,Price,223 Price,Utah South,RMR,ROCKY MOUNTAINS,Rocky Mountain,Central,Mountain Time Zone,,,,,,,,,,,,WEST,UT,201109 COR takeover,,9/1/2011,1/31/2013,Spring,COR,COR Takeover,223,220,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
488OJ,1003,Churchmans,1003 Churchmans,Philly West,LIB,LIBERTY STATES,Liberty States,Northeast,Philadelphia,,Yes,,,,,3EZHY,7O75Y,3UZKS,,,NORTHEAST,DE,201404 Mobile Comm Acq,,4/1/2014,7/31/2014,Spring,Acquired,Mobile Comm,1003,1111,Philadelphia,Closed,7,Longterm Closed Standard,Spring
E58W2,1074,Cedarhurst,1074 Cedarhurst,Long Island Central,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,,,AMO7L,254P,J9ZVU,,,NORTHEAST,NY,201410 Product Center Acq,,10/1/2014,3/31/2015,Spring,Acquired,Product Center,1074,0,Metro New York,Closed,7,Longterm Closed Standard,Spring
ZXYKG,1047,Fairfield,1047 Fairfield,New Jersey North,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,,,EWE42,2R0Q2,53LVC,,,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,11/17/2014,Spring,Acquired,Product Center,1047,0,Metro New York,Closed,7,Longterm Closed Standard,Spring
6A0TS,1062,Manalapan,1062 Manalapan,New Jersey South,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,,,,,YEQOE,G0ZRJ,4FER3,,,NORTHEAST,NJ,201410 Product Center Acq,,10/1/2014,3/15/2015,Spring,Acquired,Product Center,1062,0,Metro New York,Closed,7,Longterm Closed Standard,Spring
MX049,900,Utah Retail Support Center,900 Utah Retail Support Center,Retail Support,RMR,ROCKY MOUNTAINS,Retail Support,Retail Support,Mountain Time Zone,,,,,,,,,,,,WEST,UT,OldSpring,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
,901,NorCal Retail Support Center,901 NorCal Retail Support Center,Retail Support,NCA,NORTHERN CALIFORNIA,Retail Support,Retail Support,North California,,,,,,,,,,,,WEST,CA,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Central Valley,Closed,7,Longterm Closed Standard,Spring
,903,Delaware Retail Support Center,903 Delaware Retail Support Center,Retail Support,LIB,LIBERTY STATES,Retail Support,Retail Support,Philadelphia,,,,,,,,,,,,NORTHEAST,DE,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Philadelphia,Closed,7,Longterm Closed Standard,Spring
,905,California Retail Support Center,905 California Retail Support Center,Retail Support,GLA,GREATER LOS ANGELES,Retail Support,Retail Support,Los Angeles,,,,,,,,,,,,WEST,CA,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
,910,New York Retail Support Center,910 New York Retail Support Center,Retail Support,NYR,NEW YORK; NEW JERSEY,Retail Support,Retail Support,Metro New York,,,,,,,,,,,,NORTHEAST,NY,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Metro New York,Closed,7,Longterm Closed Standard,Spring
,925,Indiana Retail Support Center,925 Indiana Retail Support Center,Retail Support,TNK,TENNESSEE; KENTUCKY,Retail Support,Retail Support,Indianapolis,,,,,,,,,,,,SOUTHEAST,IN,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Tennessee/Kentucky,Closed,7,Longterm Closed Standard,Spring
,930,Colorado Retail Support Center,930 Colorado Retail Support Center,Retail Support,RMR,ROCKY MOUNTAINS,Retail Support,Retail Support,Mountain Time Zone,,,,,,,,,,,,WEST,CO,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
,950,Georgia Retail Support Center,950 Georgia Retail Support Center,Retail Support,GAC,GEORGIA; SOUTH CAROLINA,Retail Support,Retail Support,Georgia/Carolinas,,,,,,,,,,,,SOUTHEAST,GA,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Georgia/Carolinas,Closed,7,Longterm Closed Standard,Spring
MX048,953,Customer Service,953 Customer Service,Retail Support,RMR,ROCKY MOUNTAINS,Retail Support,Retail Support,Mountain Time Zone,,,,,,,,,,,,WEST,UT,OldSpring,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
,983,6th & Broadway SC,983 6th & Broadway SC,Retail Support,RMR,ROCKY MOUNTAINS,Retail Support,Retail Support,Mountain Time Zone,,,,,,,,,,,,WEST,CO,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
,985,Orem SC,985 Orem SC,Retail Support,RMR,ROCKY MOUNTAINS,Retail Support,Retail Support,Mountain Time Zone,,,,,,,,,,,,WEST,UT,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
,986,Grant Court SC,986 Grant Court SC,Retail Support,RMR,ROCKY MOUNTAINS,Retail Support,Retail Support,Mountain Time Zone,,,,,,,,,,,,WEST,CO,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
,987,West Valley SC,987 West Valley SC,Retail Support,RMR,ROCKY MOUNTAINS,Retail Support,Retail Support,Mountain Time Zone,,,,,,,,,,,,WEST,UT,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
,990,IT Warehouse,990 IT Warehouse,Retail Support,RMR,ROCKY MOUNTAINS,Retail Support,Retail Support,Mountain Time Zone,,,,,,,,,,,,WEST,UT,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
,991,TBFO,991 TBFO,Retail Support,RMR,ROCKY MOUNTAINS,Retail Support,Retail Support,Mountain Time Zone,,,,,,,,,,,,WEST,UT,SSC,,4/1/2001,7/31/2012,Spring,Spring,Base,0,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
GT0SR,,Old Meridian,1814 Old Meridian,Mississippi North,GLF,GULF STATES,Florida Gulf,South,Gulf,,Yes,Off,9/30/2016,,,T9NMF,,,SPRING-GS-MERIDIAN,,SOUTHEAST,MS,201509 Whitespace,"GT0SR was the dealer code and T9NMF was the DF code. As of Dec 2015, the locations dealer code is 8TN3A and the DF code is T6PJ2.",9/16/2015,12/1/2015,Spring,Whitespace,Whitespace,1814,1814,Gulf,Closed,7,Longterm Closed Standard,Spring
LWVYP,,Old Douglasville,807 Old Douglasville,North Georgia,GAC,GEORGIA; SOUTH CAROLINA,GA/SC,South,Georgia/Carolinas,,Yes,,,,,,W91,ZI7LD,,,SOUTHEAST,GA,201401 Cellular Communications Acq,,1/9/2014,12/2/2014,Spring,Acquired,Cell Comm,807,807,Georgia/Carolinas,Closed,7,Longterm Closed Standard,Spring
89M8X,810,Sugar Hill,810 Sugar Hill,Northeast Atlanta,GAC,GEORGIA; SOUTH CAROLINA,GA/SC,South,Georgia/Carolinas,,Yes,,,,,262I6,PY2,IRFR9,,,SOUTHEAST,GA,201402 Wireless Etc Acq,,2/11/2014,12/31/2014,Spring,Acquired,Wireless Etc,810,0,Georgia/Carolinas,Closed,7,Longterm Closed Standard,Spring
7VRLF,803,Johns Creek,803 Johns Creek,Northwest Atlanta,GAC,GEORGIA; SOUTH CAROLINA,GA/SC,South,Georgia/Carolinas,,Yes,,,,,QB53X,HC3,TKWQ0,,,SOUTHEAST,GA,201401 Atlanta Cellular Services Acq,,1/1/2014,7/31/2014,Spring,Acquired,Atlanta Cellular,803,0,Georgia/Carolinas,Closed,7,Longterm Closed Standard,Spring
LA33P,225,Vermont,225 Vermont,Hollywood,GLA,GREATER LOS ANGELES,Greater Los Angeles,West,Los Angeles,,Yes,,,,,O88IC,,,,,WEST,CA,201311 Affordable Portables Acq,018,11/1/2013,6/30/2014,Both,Acquired,Affordable Portable,225,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
LA33J,235,Santa Monica,235 Santa Monica,Hollywood,GLA,GREATER LOS ANGELES,Greater Los Angeles,West,Los Angeles,,Yes,,,,,IMBRZ,,,,,WEST,CA,201311 Affordable Portables Acq,010,11/1/2013,12/31/2013,Both,Acquired,Affordable Portable,235,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
LA33L,241,Marina Del Rey,241 Marina Del Rey,Hollywood,GLA,GREATER LOS ANGELES,Greater Los Angeles,West,Los Angeles,,Yes,,,,,RKS62,,,,,WEST,CA,201311 Affordable Portables Acq,040,11/1/2013,1/30/2014,Both,Acquired,Affordable Portable,241,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
RU9RX,285,Washington,285 Washington,Hollywood,GLA,GREATER LOS ANGELES,Greater Los Angeles,West,Los Angeles,,Yes,,,,,56XZX,EOO8P,,,,WEST,CA,201309 Alink Acq,,9/1/2013,12/31/2013,Spring,Acquired,TMG (Mobile Life),285,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
XF3IZ,282,Bell Gardens,282 Bell Gardens,LA East,GLA,GREATER LOS ANGELES,Greater Los Angeles,West,Los Angeles,,Yes,,,,,D8C7F,EGIT2,,,,WEST,CA,201309 Alink Acq,,9/1/2013,3/31/2014,Spring,Acquired,TMG (Mobile Life),282,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
LA34G,,Pico Rivera,248 Old Pico Rivera,LA East,GLA,GREATER LOS ANGELES,Greater Los Angeles,West,Los Angeles,,Yes,,,,,,,,,,WEST,CA,201311 Affordable Portables Acq,033,11/1/2013,7/17/2014,Both,Acquired,Affordable Portable,248,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
BIB7U,280,Glendale Galleria,280 Glendale Galleria,LA North,GLA,GREATER LOS ANGELES,Greater Los Angeles,West,Los Angeles,,Yes,,,,,UT8TB,22RHE,W1P3N,,,WEST,CA,201309 Alink Acq,,9/1/2013,10/20/2013,Spring,Acquired,TMG (Mobile Life),280,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
LA33N,243,Placentia,243 Placentia,OC North,GLA,GREATER LOS ANGELES,Greater Los Angeles,West,Los Angeles,,Yes,,,,,8QEMK,,,,,WEST,CA,201311 Affordable Portables Acq,014,11/1/2013,6/12/2014,Both,Acquired,Affordable Portable,243,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
LA34B,238,Carson,238 Carson,South Bay,GLA,GREATER LOS ANGELES,Greater Los Angeles,West,Los Angeles,,Yes,,,,,S6ZP8,,,,,WEST,CA,201311 Affordable Portables Acq,028,11/1/2013,12/31/2013,Both,Acquired,Affordable Portable,238,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
22Z3Z,263,North Carson City,263 North Carson City,Reno-Tahoe,NCA,NORTHERN CALIFORNIA,OR/CA,West,North California,,No,,,,,ASXE2,,,,,WEST,NV,201204 Comanco Acq,,4/1/2012,6/30/2014,Both,Acquired,COMANCO,263,0,Central Valley,Closed,7,Longterm Closed Standard,Spring
LA33X,247,West Covina,247 West Covina,IE West,GLA,GREATER LOS ANGELES,Southern California,West,Los Angeles,,Yes,,,,,XZPR0,,,,,WEST,CA,201311 Affordable Portables Acq,024,11/1/2013,12/31/2013,Both,Acquired,Affordable Portable,247,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
VN0H8,707,Tuscano,707 Tuscano,Phoenix East,SWH,SOUTHWEST,Southwest,West,Mountain Time Zone,,Yes,,,,,,,,,,WEST,AZ,OldSpring,,4/1/2001,2/29/2012,Spring,Spring,Base,707,0,Mountain Time Zone,Closed,7,Longterm Closed Standard,Spring
R637H,289,El Camino,289 El Camino,San Diego North,SWH,SOUTHWEST,Southwest,West,San Diego,,Yes,,,,,BHMK3,38BWD,,,,WEST,CA,201309 Alink Acq,,9/1/2013,12/31/2013,Spring,Acquired,TMG (Mobile Life),289,0,Bakersfield,Closed,7,Longterm Closed Standard,Spring
U7FOO,,"GEO^EDF^DF-ALL WIRELESS - W BELMONT DR, CALHOUN^",Old All Wireless,All Wireless,GAC,GEORGIA; SOUTH CAROLINA,Acquired,Acquired,Georgia/Carolinas,DF,No,,,,,,,,,,SOUTHEAST,GA,201412 Old All Wireless,,12/1/2014,11/30/2014,Acquired,Acquired,All Wireless,835,835,Georgia/Carolinas,Closed,8,Longterm Closed Direct Fulfill,Spring
J3RM0,,GEO^EDF^DF-ALL WIRELESS -JOE FRANK HARRIS PKWY^,Old All Wireless,All Wireless,GAC,GEORGIA; SOUTH CAROLINA,Acquired,Acquired,Georgia/Carolinas,DF,No,,,,,,,,,,SOUTHEAST,GA,201412 Old All Wireless,,12/1/2014,11/30/2014,Acquired,Acquired,All Wireless,834,834,Georgia/Carolinas,Closed,8,Longterm Closed Direct Fulfill,Spring
QB8J8,,PHI^EDF^DF-CELLSTAR: 18TH STREET^,Old Cellstar,Cellstar,LIB,LIBERTY STATES,Acquired,Acquired,Philadelphia,DF,No,,,,,,,,,,NORTHEAST,PA,201411 Old Cellstar,,11/1/2014,10/31/2014,Acquired,Acquired,Cellstar,1090,0,Philadelphia,Closed,8,Longterm Closed Direct Fulfill,Spring
KELIL,,PHI^EDF^DF-CELLSTAR: FEASTERVILLE^,Old Cellstar,Cellstar,LIB,LIBERTY STATES,Acquired,Acquired,Philadelphia,DF,No,,,,,,,,,,NORTHEAST,PA,201411 Old Cellstar,,11/1/2014,10/31/2014,Acquired,Acquired,Cellstar,1091,1091,Philadelphia,Closed,8,Longterm Closed Direct Fulfill,Spring
T03RQ,,PHI^EDF^DF-CELLSTAR: HATFIELD^,Old Cellstar,Cellstar,LIB,LIBERTY STATES,Acquired,Acquired,Philadelphia,DF,No,,,,,,,,,,NORTHEAST,PA,201411 Old Cellstar,,11/1/2014,10/31/2014,Acquired,Acquired,Cellstar,1092,1092,Philadelphia,Closed,8,Longterm Closed Direct Fulfill,Spring
S7ZGE,,PHI^EDF^DF-CELLSTAR: HELLERTOWN^,Old Cellstar,Cellstar,LIB,LIBERTY STATES,Acquired,Acquired,Philadelphia,DF,No,,,,,,,,,,NORTHEAST,PA,201411 Old Cellstar,,11/1/2014,10/31/2014,Acquired,Acquired,Cellstar,1093,1093,Philadelphia,Closed,8,Longterm Closed Direct Fulfill,Spring
CZX9M,,PHI^EDF^DF-CELLSTAR: SOUDERTON^,Old Cellstar,Cellstar,LIB,LIBERTY STATES,Acquired,Acquired,Philadelphia,DF,No,,,,,,,,,,NORTHEAST,PA,201411 Old Cellstar,,11/1/2014,10/31/2014,Acquired,Acquired,Cellstar,1094,1094,Philadelphia,Closed,8,Longterm Closed Direct Fulfill,Spring
8C2GS,,IND^EDF^DF-MOBILE KING - BLUFFTON^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1317,1317,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
DG4BC,,IND^EDF^DF-MOBILE KING - DECATUR^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1318,1318,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
8E4O8,,IND^EDF^DF-MOBILE KING - HUNTINGTON^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1320,1320,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
MTYIN,,IND^EDF^DF-MOBILE KING - NORTH MANCHESTER^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1322,1322,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
5PDS3,,IND^EDF^DF-MOBILE KING - PERU^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1323,1323,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
AVXC5,,IND^EDF^DF-MOBILE KING - SYRACUSE^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1324,1324,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
DI5CC,,IND^EDF^WS^DF - MOBILE KING - FT WAYNE^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1326,1326,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
9JB5F,,IND^EDF^WS^MOBILE KING - GOSHEN^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1319,1319,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
I926D,,IND^EDF^WS^MOBILE KING - KOKOMO^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1321,1321,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
SMJ3Y,,IND^EDF^WS^MOBILE KING - NEW HAVEN^,Old Mobile King,Mobile King,GLR,GREAT LAKES,Acquired,Acquired,Indianapolis,DF,No,,,,,,,,,,NORTHEAST,IN,201501 Old Mobile King,,1/1/2015,12/31/2014,Acquired,Acquired,Mobile King,1325,1325,Indianapolis,Closed,8,Longterm Closed Direct Fulfill,Spring
Q54TG,,PHI^EDF^DF-NTI OF NJ: BERLIN^,Old National Telecom,National Telecom,LIB,LIBERTY STATES,Acquired,Acquired,Philadelphia,DF,No,,,,,,,,,,NORTHEAST,NJ,201501 Old National Telecom,,1/1/2015,12/31/2014,Acquired,Acquired,National Telecom,1097,1097,Philadelphia,Closed,8,Longterm Closed Direct Fulfill,Spring
CYX5M,,PHI^EDF^DF-NTI OF NJ: MIDDLETOWN^,Old National Telecom,National Telecom,LIB,LIBERTY STATES,Acquired,Acquired,Philadelphia,DF,No,,,,,,,,,,NORTHEAST,DE,201501 Old National Telecom,,1/1/2015,12/31/2014,Acquired,Acquired,National Telecom,1098,1098,Philadelphia,Closed,8,Longterm Closed Direct Fulfill,Spring
2G7J3,,MNY^EDF^DF - PRODUCT CENTER - 18TH AVENUE,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NY,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1069,1069,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
MIPDA,,MNY^EDF^DF - PRODUCT CENTER - 7TH AVENUE,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NY,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1068,1068,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
A5VWE,,MNY^EDF^DF - PRODUCT CENTER - CARLSTADT^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NJ,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1051,1051,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
W4KBI,,MNY^EDF^DF - PRODUCT CENTER - CONEY ISLAND,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NY,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1070,1070,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
53LVC,,MNY^EDF^DF - PRODUCT CENTER - FAIRFIELD^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NJ,201410 Old Product Center,EA87K,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1047,0,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
QH3CZ,,MNY^EDF^DF - PRODUCT CENTER - FISHKILL^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NY,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1030,1030,Upstate New York,Closed,8,Longterm Closed Direct Fulfill,Spring
62FQS,,MNY^EDF^DF - PRODUCT CENTER - FRANKLIN LAKES^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NJ,201410 Old Product Center,TY74C,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1055,1055,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
KXXO5,,MNY^EDF^DF - PRODUCT CENTER - HAMPTON BAYS^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NY,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1078,1078,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
C9MY4,,MNY^EDF^DF - PRODUCT CENTER - LEDGEWOOD^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NJ,201410 Old Product Center,V2A3Z,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1049,1049,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
P3XBQ,,MNY^EDF^DF - PRODUCT CENTER - LIVINGSTON^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NJ,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1045,1045,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
68C2E,,MNY^EDF^DF - PRODUCT CENTER - MONROE^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NY,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1028,1028,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
37YDT,,MNY^EDF^DF - PRODUCT CENTER - MONTICELLO^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NY,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1029,1029,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
OSZU2,,MNY^EDF^DF - PRODUCT CENTER - PARAMUS PARK^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NJ,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1053,1053,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
DR8T4,,MNY^EDF^DF - PRODUCT CENTER - PARAMUS^,Old Product Center,Product Center,NYR,NEW YORK; NEW JERSEY,Acquired,Acquired,Metro New York,DF,No,,,,,,,,,,NORTHEAST,NJ,201410 Old Product Center,,10/1/2014,9/30/2014,Acquired,Acquired,Product Center,1052,1052,Metro New York,Closed,8,Longterm Closed Direct Fulfill,Spring
