"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","476 Lockport","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Southwest","476","Lockport","16443 W 159th St","Lockport, IL 60441","2400","$9,118.00","4/30/21","195","196","1786","$7,635.08","DQLYF","https://www.dropbox.com/s/r4qk91v5mzvb57p/476%20Lockport%20Outside.jpg?dl=0","https://www.dropbox.com/s/r4qk91v5mzvb57p/476%20Lockport%20Outside.jpg?dl=0","DES1","End Cap Strip","Complete","4/20/2016","YES","1","11","0","NO","","Installed","2","YES","1","2","NO","","213",""
"","491 Morris","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Southwest","491","Morris","173 E US Rt 6","Morris, IL 60450","1649","$4,750.93","4/30/2019","277","278","2907","$6,536.13","3XTH6","https://www.dropbox.com/s/ugvfzywggttouyd/491%20Morris.jpg?dl=0","https://www.dropbox.com/s/hl5gvetnhipfnwd/491%20Morris%20Inside.jpg?dl=0","DES1s","End Cap Strip","Complete","5/27/2016","YES","2","11","0","NO","","Denied","3","NO","1","0","NO","","",""
"","1421 Bridgeview","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Southwest","1421","Bridgeview","10276 S Harlem Ave","Bridgeview, IL 60455","1200","$4,100.00","7/31/2021","106","100","1677","$1,340.42","9P4SG","https://www.dropbox.com/s/ahz8s26pclrpoif/1421%20Bridgeview%20Outside.jpg?dl=0","https://www.dropbox.com/s/v4c6moschqwy29q/1421%20Bridgeview%20Inside.jpg?dl=0","DES1s","End Cap Strip","Complete","10/14/2015","YES","0","10","0","NO","","Installed","2","NO","1","1","NO","","248",""
"","2118 Homer Glen","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Southwest","2118","Homer Glen","14003 S Bell Rd","Homer Glen, IL 60491","1600","$3,814.76","10/31/18","136","142","1296","$14,839.42","3AZQ6","https://www.dropbox.com/s/8mw2t7gp99i3vhy/2118%20Homer%20Glen%20Outside.png?dl=0","","GEN","End Cap Strip","","","YES","2","10","0","NO","","Installed","0","NO","0","2","NO","NO","",""
"","2119 Joliet West Jefferson","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Southwest","2119","Joliet West Jefferson","1728 W Jefferson St","Joliet, IL 60435","2300","$4,398.75","11/30/2019","131","118","2409","$1,750.71","QRBRO","https://www.dropbox.com/s/cxlg152fnl0basg/2119%20Joilet%20West%20Jefferson%20Outside.png?dl=0","","DES1","End Cap Strip","Complete","","YES","4","11","0","27 Panel","","Pending","5","YES","0","0","NO","","",""
"","2124 Ottawa","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Southwest","2124","Ottawa","4038 Veterans Dr","Ottawa, IL 61350","2400","$4,700.00","10/31/2021","255","279","2754","$22,995.47","FF2MZ","https://www.dropbox.com/s/wcofyg59u46kn9o/2124%20Ottawa%20Outside.jpg?dl=0","https://www.dropbox.com/s/v5dzrxia8mje71h/2124%20Ottawa%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/16/2016","NO","2","13","0","NO","","Installed","3","YES","1","2","NO","NO","89",""
"","2132 Shorewood","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Southwest","2132","Shorewood","922 Brook Forest Ave","Shorewood, IL 60404","1745","$4,794.01","11/30/18","175","217","1966","$12,616.56","JCJ7V","https://www.dropbox.com/s/z34792v7m2a42xc/2132%20Shorewood%20Outside.png?dl=0","","DES1","End Cap Strip","Complete","","YES","0","12","0","NO","","Denied","3","YES","1","1","NO","","",""
"","2604 New Lenox","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Southwest","2604","New Lenox","709 E Lincoln Hwy","New Lenox, IL 60451","2475","$8,106.99","11/25/2020","225","163","1630","$1,881.44","9N7QQ","https://www.dropbox.com/s/weecda8o4w2tqqf/2604%20New%20Lenox%20Outside.jpg?dl=0","https://www.dropbox.com/s/xuvg5c0mwgom644/2604%20New%20Lenox%20Inside.jpg?dl=0","DES1","End Cap Strip","","","YES","2","12","0","NO","","Installed","3","YES","0","0","NO","","",""
"","466 Orchard","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","466","Orchard","1330 Orchard Rd","Aurora, IL 60506","2437","$8,175.00","1/31/2020","183","201","2102","$18,552.52","926NP","https://www.dropbox.com/s/jouajgueopfqbqq/466%20Orchard.jpg?dl=0","https://www.dropbox.com/s/cxhrxjor04mg84j/466%20Orchard%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","8/22/2015","YES","0","11","0","NO","","Denied","3","YES","1","1","NO","","",""
"","478 Batavia","CENTRAL","GREATER LAKES","Central","Chicago","Chicago West","478","Batavia","201 N Randall Rd","Batavia, IL 60510","2012","$5,698.31","1/31/2020","254","234","1807","$2,772.44","HN2K0","https://www.dropbox.com/s/8kls5t2py6o6e2p/478%20Batavia.jpg?dl=0","https://www.dropbox.com/s/j6pctvrjatk1f1s/478%20Batavia%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/12/2014","YES","0","11","0","NO","","Denied","3","YES","0","0","NO","","",""
