"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","768 South Plains Mall","CENTRAL","NORTH TEXAS","South","Texas Region","Texas Central","768","South Plains Mall","6002 Slide Rd Space B19 & B 20","Lubbock, TX 79141","1284","$8,165.82","1/31/22","206","153","3792","$1,016.92","TAEPX","https://www.dropbox.com/s/4oy3krxsdici811/768%20South%20Plains%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/lak01gcmrq3ewsu/768%20South%20Plains%20Mall%20Inside.jpg?dl=0","DES1s","Mall","Complete","11/29/2016","YES","0","9","1","NO","","Pending","3","NO","1","1","NO","","175",""
"","769 Midland","CENTRAL","NORTH TEXAS","South","Texas Region","Texas Central","769","Midland","210 W Longview Ave Suite E","Midland, TX 79701","1700","$4,933.24","8/29/20","181","160","2376","$1,418.45","CKZ46","https://www.dropbox.com/s/kv83hlih9iz7rus/769%20Midland.jpg?dl=0","https://www.dropbox.com/s/dv990aviada4yxh/769%20Midland%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","8/21/2015","YES","0","14","0","NO","","Denied","3","YES","0","0","NO","","152",""
"","771 Music City Mall","CENTRAL","NORTH TEXAS","South","Texas Region","Texas Central","771","Music City Mall","4101 E 42nd St B-12","Odessa, TX 79762","1302","$4,792.63","4/14/22","158","136","3399","$2,390.61","M4ELD","https://www.dropbox.com/s/je9sba7zdwuwja1/771%20Music%20City%20Mall%20Outside.jpg?dl=0","https://www.dropbox.com/s/v5okgcf69qxaby6/771%20Music%20City%20Mall%20Inside.jpg?dl=0","DES1","Mall","Complete","6/24/2015","YES","0","11","0","NO","","Installed","3","NO","0","0","NO","","",""
"","794 Clovis NM","CENTRAL","NORTH TEXAS","South","Texas Region","Texas Central","794","Clovis NM","2701 N Prince St","Clovis, NM 88101","5035","$5,244.79","8/31/22","252","227","2486","$1,478.60","QJ5XX","","","DES1","Stand Alone","Complete","11/2/2016","YES","0","11","0","NO","","Pending","6","YES","0","0","NO","","185",""
"","795 Lubbock Quaker","CENTRAL","NORTH TEXAS","South","Texas Region","Texas Central","795","Lubbock Quaker","11435 Quaker Ave Suite 300","Lubbock, TX 79423","2000","$5,500.00","","","","","","LY4IS","","","DES1","End Cap Strip","Complete","11/24/2017","NO","","12","1","NO","","Pending","3","YES","0","0","NO","","136",""
"","798 Midland Park","CENTRAL","NORTH TEXAS","South","Texas Region","Texas Central","798","Midland Park","4511 N Midkiff Rd Space B012A","Midland, TX 79705","1605","$14,199.88","9/30/2020","98","143","3887","$2,135.54","TRZP3","https://www.dropbox.com/s/ovuj2oh8i3ttz1a/798%20Midland%20Park%20Outside.jpg?dl=0","https://www.dropbox.com/s/vljgh11g3ralc3f/798%20Midland%20Park%20Inside.jpg?dl=0","DES1","Mall","Complete","9/17/2015","YES","0","11","0","NO","","Pending","2","YES","0","0","NO","","104",""
"","750 Yarbrough","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","750","Yarbrough","1144 N Yarbrough Dr Suite 200","El Paso, TX 79925","2511","$7,019.47","11/6/2018","79","101","1551","$2,071.86","IRMKN","https://www.dropbox.com/s/z88tuopc0obh4ri/750%20Yarbrough.jpg?dl=0","https://www.dropbox.com/s/phowzd08i8y29g0/750%20Yarbrough%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","0","12","0","NO","","Installed","2","YES","1","2","NO","","",""
"","751 Redd Rd","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","751","Redd Rd","655 E Redd Rd Suite 102","El Paso, TX 79912","1800","$4,950.00","11/30/2018","137","146","1927","$3,184.17","TY2ZL","https://www.dropbox.com/s/7m9hflqn4duuvc3/751%20Redd%20Rd.jpg?dl=0","https://www.dropbox.com/s/eka0xz81y87od93/751%20Redd%20Rd%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","2","12","0","NO","","Installed","1","NO","1","1","NO","","",""
"","753 Montana Ave","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","753","Montana Ave","5400 Montana Ave","El Paso, TX 79903","2944","$7,750.38","2/28/19","197","153","2579","$3,016.16","EFU94","https://www.dropbox.com/s/3aaxnw4axqhp4wk/753%20Montana%20Ave.jpg?dl=0","https://www.dropbox.com/s/25ao3768m21t32d/753%20Montana%20Ave%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","5/20/2015","YES","2","12","0","NO","","Installed","1","YES","1","2","YES","","",""
"","754 Zaragoza","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","754","Zaragoza","700 N Zaragoza Rd Building B","El Paso, TX 79907","2958","$6,483.00","8/31/19","58","79","1331","$1,949.82","K2DIW","https://www.dropbox.com/s/oz20vheaexgan6x/754%20Zaragoza.jpg?dl=0","https://www.dropbox.com/s/b17dycym1wfshh0/754%20Zaragoza%20Inside.jpg?dl=0","DES1","Stand Alone","Complete","8/1/2014","YES","0","11","0","NO","","Installed","2","YES","1","2","YES","","",""
"","755 Las Cruces","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","755","Las Cruces","2305 E Lohman Ave Suite #2","Las Cruces, NM 88001","2750","$6,695.38","12/5/18","172","138","1958","$3,538.07","T7O8W","https://www.dropbox.com/s/6diajvx3sx79hu2/755%20Las%20Cruces.jpg?dl=0","https://www.dropbox.com/s/8wkn7djzecuiyt8/755%20Las%20Cruces%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","0","12","0","NO","","Installed","2","YES","1","2","NO","","",""
"","758 Horizon City","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","758","Horizon City","13998 Horizon Blvd Suite 150","Horizon City, TX 79928","1800","$4,462.50","4/30/2020","97","84","1484","$1,565.52","KHP8A","https://www.dropbox.com/s/wvzzl2wzb9esfts/758%20Horizon%20City.jpg?dl=0","https://www.dropbox.com/s/9cudk396lg8dxur/758%20Horizon%20City%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","5/20/2015","YES","2","12","0","NO","","Installed","1","YES","1","2","NO","","",""
"","759 Dyer","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","759","Dyer","9039 Dyer St","El Paso, TX 79904","2072","$6,647.68","7/31/2020","192","202","2372","$3,650.20","8BN4V","https://www.dropbox.com/s/65738ac4npoe9wy/759%20Dyer.jpg?dl=0","https://www.dropbox.com/s/1y2tgaetubqr379/759%20Dyer%20Inside.jpg?dl=0","DES1","Stand Alone","Complete","6/3/2015","YES","0","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","760 Mesa Street","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","760","Mesa Street","2400 N Mesa St","El Paso, TX 79902","2000","$5,790.67","7/31/2021","98","92","1884","$1,566.10","25W5X","https://www.dropbox.com/s/4224ecv34yoinyd/760%20Mesa%20Street.jpg?dl=0","https://www.dropbox.com/s/h5jqescye1v0443/760%20Mesa%20Street%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","9/17/2014","YES","2","11","0","NO","","Installed","1","YES","1","2","NO","","",""
"","779 Sunland Park","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","779","Sunland Park","750 Sunland Park Dr #G05","El Paso, TX 77912","2957","$5,021.37","2/29/2020","42","43","1329","$929.01","UJAKZ","https://www.dropbox.com/s/a78ekmnig92uywx/779%20Sunland%20Park.jpg?dl=0","https://www.dropbox.com/s/rrt0qpyesgmp2hi/779%20Sunland%20Park%20Inside.jpg?dl=0","DES1","Mall","Complete","7/29/2015","YES","0","12","0","27 Panel","","Denied","6","YES","1","2","NO","","",""
"","781 Montwood","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","781","Montwood","1895 George Dieter Dr","El Paso, TX 79936","2010","$5,443.75","1/31/2022","222","197","2385","$1,049.48","G3G8X","https://www.dropbox.com/s/2vrxksv1llprkl9/781%20Montwood%20Outside.jpg?dl=0","","DES1","End Cap Strip","Complete","12/17/2016","NO","","11","0","NO","","Installed","2","YES","1","2","NO","","209",""
"","782 West Towne","CENTRAL","NORTH TEXAS","South","Texas Region","Texas West","782","West Towne","6450 Desert Blvd North, Suite 105","El Paso, TX 79912","1800","$6,600.00","","","","","","H7LNR","","","DES1","Inline Strip","Complete","11/24/2017","NO","","11","1","NO","","Pending","2","YES","0","0","NO","","96",""
"","1231 Oakland Ridge","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1231","Oakland Ridge","5108 Broadway Suite K-106","Oakland, CA 94611","1634","$11,850.72","1/31/2022","122","86","","$197.20","34TM7","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_MWJfS1FpckZneDQ/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_aEJIMVc3Q2Nkems/view?usp=sharing","DES1","Inline Strip","Complete","1/18/2017","NO","","13","1","NO","","Installed","3","YES","0","0","NO","","541",""
"","1237 Lakeshore Plaza","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1237","Lakeshore Plaza","1567 Sloat Blvd","San Francisco, CA 94132","2100","$10,423.37","3/31/2020","73","79","1360","$24,680.08","NNCHV","https://www.dropbox.com/s/f2nokjgzrei197n/1237%20Lakeshore%20Plaza%20Outside.jpg?dl=0","https://www.dropbox.com/s/so6at6r108mbqtm/1237%20Lakeshore%20Plaza%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","11/2/2016","YES","0","12","1","NO","","Installed","3","YES","0","0","NO","","152",""
"","1238 San Bruno","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1238","San Bruno","2490 San Bruno Ave","San Francisco, CA 94134","2500","$5,750.00","6/30/2020","61","68","1884","$227.56","CUSC6","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_ck01WVNDbDhZTDQ/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_TVBEREJFMmVSaDQ/view?usp=sharing","DES1s","Inline Strip","Complete","12/30/2016","NO","","10","0","NO","","Installed","2","NO","1","1","NO","","172",""
"","1239 Geary Blvd","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1239","Geary Blvd","5644 Geary Blvd","San Francisco, CA 94121","2250","$5,583.34","1/31/19","173","97","1869","$188.73","Q4IIV","https://www.dropbox.com/s/ohn1krw302hwr20/1239%20Geary%20Blvd%20Outside.jpg?dl=0","https://www.dropbox.com/s/0o7dcxugff322pq/1239%20Geary%20Blvd%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","12/9/2016","NO","0","11","0","NO","","Installed","4","YES","1","2","NO","","518",""
"","1243 Alameda Landing","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1243","Alameda Landing","2620 5th St Suite D","Alameda, CA 94501","2383","$12,769.13","1/31/2021","177","208","2691","$1,686.85","NFO2U","https://www.dropbox.com/s/i59zm1m8v2s6gcd/1243%20Alameda%20Landing%20Outside.jpg?dl=0","https://www.dropbox.com/s/q01nn4n9eia4yu4/1243%20Alameda%20Landing%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","11/18/2015","YES","0","11","0","NO","","Pending","3","YES","1","2","NO","","569",""
"","1519 Alameda","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1519","Alameda","2601 Blanding Ave Suite A","Alameda, CA 94501","1107","$4,859.85","12/31/2020","203","218","2594","$11,876.43","MDINI","https://www.dropbox.com/s/yd775wl5eldf8wj/1519%20Alameda.jpg?dl=0","https://www.dropbox.com/s/eudwklj4ejsa0aa/1519%20Alameda%20Inside.jpg?dl=0","DES2","End Cap Strip","Complete","10/8/2014","YES","0","8","0","NO","","Denied","0","NO","1","0","NO","","",""
"","1521 Burlingame","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1521","Burlingame","221 Primrose Rd","Burlingame, CA 94010","1338","$9,197.75","1/31/2019","330","263","2827","$3,034.83","3WFV7","https://www.dropbox.com/s/xfk6xewlbw9stfp/1521%20Burlingame.jpg?dl=0","https://www.dropbox.com/s/dle053l5j350kvn/1521%20Burlingame%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","3/5/2014","YES","0","11","0","NO","","Pending","2","YES","1","2","NO","","",""
"","1522 Castro Valley","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1522","Castro Valley","3949 E Castro Valley Blvd","Castro Valley, CA 94552","1050","$4,585.50","1/31/2020","99","140","2009","$14,912.29","HBMG4","https://www.dropbox.com/s/iuua1md4hnwtwr5/1522%20Castro%20Valley.jpg?dl=0","https://www.dropbox.com/s/s5ri1pwgw9t2z26/1522%20Castro%20Valley%20Inside.jpg?dl=0","GEN","Inline Strip","","","YES","0","7","0","NO","","Pending","0","NO","0","0","NO","","",""
"","1527 Hayward","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1527","Hayward","1098 A St","Hayward, CA 94541","1580","$4,725.00","2/9/2020","229","196","2505","$2,518.76","TUC70","https://www.dropbox.com/s/55qcct3cz99ihut/1527%20Hayward.jpg?dl=0","https://www.dropbox.com/s/xjii9ewdbgiysof/1527%20Hayward%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","3/12/2014","YES","0","11","0","NO","","Installed","2","YES","1","1","NO","","",""
"","1535 Pleasanton","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1535","Pleasanton","4747 Hopyard Rd Space E-07","Pleasanton, CA 94588","1851","$8,794.60","11/30/2019","283","235","2163","$14,025.53","ID9DA","https://www.dropbox.com/s/8lo0099p55g9vg6/1535%20Pleasanton.jpg?dl=0","https://www.dropbox.com/s/mt3505saaqrarck/1535%20Pleasanton%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/14/2014","YES","1","11","0","NO","","Installed","2","YES","1","1","NO","","",""
"","1536 Potrero","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1536","Potrero","2300 16th St Suite 150","San Francisco, CA 94103","915","$5,388.08","1/31/2019","242","182","2864","$14,076.32","Q2KJN","https://www.dropbox.com/s/0uqtw8irxpr2zo2/1536%20Potrero.jpg?dl=0","https://www.dropbox.com/s/74wttsxx8necsrx/1536%20Potrero%20Inside.jpg?dl=0","GEN","Stand Alone","","","YES","0","4","0","NO","","Denied","0","NO","0","0","NO","","",""
"","1584 Fruitvale","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area Central","1584","Fruitvale","2992 E 9th St","Oakland, CA 94601","2230","$9,802.83","4/30/2023","148","169","3317","$1,542.33","2EXS9","https://www.dropbox.com/s/vlu32mbz7daqje2/1584%20Fruitvale%20Outside.jpg?dl=0","https://www.dropbox.com/s/aqnumm0ogc9mc0f/1584%20Fruitvale%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","4/14/2016","YES","0","12","0","NO","","Pending","4","YES","1","2","NO","","603",""
"","1233 Benicia","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area North","1233","Benicia","812 Southampton Rd","Benicia, CA 94510","1903","$6,503.51","1/31/21","88","108","1808","$857.94","6MX8G","https://www.dropbox.com/s/3dm0vepfbxpd2by/1233%20Benicia%20Outside.jpg?dl=0","https://www.dropbox.com/s/pfrs39nz2z7b53c/1233%20Benicia%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","8/27/2015","YES","2","13","0","NO","","Installed","3","YES","1","2","NO","","119",""
"","1523 Ygnacio Valley Road","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area North","1523","Ygnacio Valley Road","5434 Ygnacio Valley Rd Suite 240","Concord, CA 94521","1220","$5,257.59","10/31/2019","242","224","2550","$15,923.08","TT4HR","https://www.dropbox.com/s/fty7z8p4bheksba/1523%20Ygnacio%20Valley%20Road.jpg?dl=0","https://www.dropbox.com/s/ddqbjumrq227o2s/1523%20Ygnacio%20Valley%20Road%20Inside.jpg?dl=0","DES2","Inline Strip","Complete","9/22/2013","YES","0","8","0","NO","","Denied","0","NO","1","2","NO","","",""
"","1524 Danville Square","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area North","1524","Danville Square","29 Railroad Ave","Danville, CA 94526","1210","$5,661.72","7/31/2021","168","158","1854","$15,959.76","QE86Y","https://www.dropbox.com/s/c3relgor81m9qru/1524%20Danville%20Square.jpg?dl=0","https://www.dropbox.com/s/szr00mtd0734gkn/1524%20Danville%20Square%20Inside.jpg?dl=0","GEN","Inline Strip","","","YES","0","7","0","NO","","Pending","0","NO","0","0","NO","","",""
"","1525 Fairfield","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area North","1525","Fairfield","1570 Gateway Blvd Suite C","Fairfield, CA 94533","2223","$9,001.38","4/30/2020","142","147","2161","$13,645.67","NKJQV","https://www.dropbox.com/s/yr5lg398rch2lfm/1525%20Fairfield.jpg?dl=0","https://www.dropbox.com/s/hcqw1f0iv0ncmlv/1525%20Fairfield%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","8/14/2014","YES","0","11","0","NO","","Denied","3","YES","1","2","NO","","",""
"","1531 Napa","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area North","1531","Napa","1342 Trancas St","Napa, CA 94558","2184","$6,650.90","8/31/19","362","335","4140","$24,785.58","7AA6N","https://www.dropbox.com/s/y4e5ox4c8i3ga4p/1531%20Napa.jpg?dl=0","https://www.dropbox.com/s/swavv5kcwhsgwlb/1531%20Napa%20Inside.jpg?dl=0","DES2","Inline Strip","","9/11/2011","YES","0","7","0","NO","","Pending","0","NO","1","1","YES","","",""
"","1533 Century Blvd","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area North","1533","Century Blvd","4414 Century Blvd","Pittsburg, CA 94565","1610","$5,957.34","1/11/19","224","246","3795","$19,752.21","T5F6Q","https://www.dropbox.com/s/y3ouuddrkypnpse/1533%20Century%20Blvd.jpg?dl=0","https://www.dropbox.com/s/4xt0vv51mntb47h/1533%20Century%20Blvd%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","2/6/2015","YES","2","12","0","NO","","Installed","2","YES","1","2","YES","","",""
"","1534 Walnut Creek","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area North","1534","Walnut Creek","2355 Oak Grove Rd Building H","Walnut Creek, CA 94598","2459","$13,334.67","4/30/2022","48","65","925","$17,937.76","9LUBG","https://www.dropbox.com/s/6lg1ymvxhdkg0sg/1534%20Walnut%20Creek%20Outside.jpg?dl=0","https://www.dropbox.com/s/na75pb11r5240sz/1534%20Walnut%20Creek%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","4/26/2017","NO","","11","1","NO","","Installed","6","YES","0","0","NO","","",""
"","1576 Martinez","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area North","1576","Martinez","1150-A Arnold Dr","Martinez, CA 94553","1960","$6,579.00","5/31/2020","131","193","2231","$1,584.80","6YVOA","https://www.dropbox.com/s/i97y54005k7z4pn/1576%20Martinez.jpg?dl=0","https://www.dropbox.com/s/9dr1zi5fobysqg0/1576%20Martinez%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","5/5/2015","YES","2","11","0","NO","","Installed","2","YES","1","2","NO","","",""
"","1580 Railroad Ave","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Bay Area North","1580","Railroad Ave","2110 Railroad Ave Suite 150","Pittsburg, CA 94565","1925","$7,170.58","1/31/2021","92","125","2986","$1,174.74","HV7M2","https://www.dropbox.com/s/jzlirs4skfgv0er/1580%20Railroad%20Ave%20Outside.jpg?dl=0","https://www.dropbox.com/s/enuze7pnnh6we1s/1580%20Railroad%20Ave%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","1/7/2016","YES","0","11","0","NO","","Pending","2","YES","1","2","NO","","",""
"","1234 Patterson","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1234","Patterson","1015 Sperry Ave Suite A","Patterson, CA 95363","2700","$5,346.64","1/31/2020","240","223","2886","$2,205.13","J0697","https://www.dropbox.com/s/h3rlmdgunoe2aq6/1234%20Patterson%20Outside.jpg?dl=0","https://www.dropbox.com/s/h7yymo0zqvc4r6z/1234%20Patterson%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","8/21/2015","YES","0","13","0","15 Panel","","Pending","4","YES","1","2","NO","","227",""
"","1501 Cedar Ave","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1501","Cedar Ave","8817 N Cedar Ave","Fresno, CA 93720","1000","$2,543.07","12/31/2018","188","185","2305","$15,629.98","H0SS6","https://www.dropbox.com/s/hkyw42gwr1437qm/1501%20Cedar%20Ave.jpg?dl=0","https://www.dropbox.com/s/0eqgh6du41cja3e/1501%20Cedar%20Ave%20Inside.jpg?dl=0","DES2","Inline Strip","Complete","10/13/2013","YES","0","10","0","NO","","Installed","0","NO","1","1","NO","","",""
"","1502 Clovis","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1502","Clovis","175 W Shaw Ave Suite 101","Clovis, CA 93612","2251","$5,932.55","11/30/2018","125","144","2380","$15,708.77","IRIN4","https://www.dropbox.com/s/grwcmaj4vrnm06q/1502%20Clovis.jpg?dl=0","https://www.dropbox.com/s/8tvlj38nbfjwi89/1502%20Clovis%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","2/10/2015","YES","0","11","0","NO","","Installed","2","YES","1","2","NO","","",""
"","1505 Fig Garden","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1505","Fig Garden","1008 W Shaw Ave Suite 102","Fresno, CA 93711","2450","$7,374.50","12/31/2018","199","190","2457","$16,256.39","YUB45","https://www.dropbox.com/s/v21urssh8aq2ufh/1505%20Fig%20Garden.jpg?dl=0","https://www.dropbox.com/s/nehmxa7qx2jyut6/1505%20Fig%20Garden%20Inside.jpg?dl=0","DES2","End Cap Strip","Complete","11/1/2013","YES","2","11","0","NO","","Installed","0","NO","1","2","NO","","",""
"","1506 Herndon Ave","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1506","Herndon Ave","779 Herndon Ave Suite 101","Clovis, CA 93612","1680","$5,383.55","4/30/2023","397","349","3139","$16,885.06","73S2C","https://www.dropbox.com/s/aa68sg87qyqri41/1506%20Herndon%20Ave.jpg?dl=0","https://www.dropbox.com/s/nza0kwcnlnmiefh/1506%20Herndon%20Ave%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","3/1/2015","YES","0","11","0","NO","","Installed","2","YES","1","2","NO","","",""
"","1507 Los Banos","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1507","Los Banos","1350 E Pacheco Blvd Suite A","Los Banos, CA 93635","1100","$2,657.16","6/30/2019","243","279","4898","$17,494.66","ZC55A","https://www.dropbox.com/s/r3bzycw4fz38l8r/1507%20Los%20Banos.jpg?dl=0","https://www.dropbox.com/s/8hkd0q8s4zjuuoz/1507%20Los%20Banos%20Inside.jpg?dl=0","DES2","End Cap Strip","Complete","9/29/2013","YES","2","8","0","NO","","Installed","0","NO","1","2","YES","","",""
"","1508 Blackstone Ave","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1508","Blackstone Ave","3611 N Blackstone Ave","Fresno, CA 93726","3795","$7,116.23","3/31/2021","414","398","5874","$13,673.19","XFJJ9","https://www.dropbox.com/s/uuyiqt0wvgey2m2/1508%20Blackstone%20Ave.jpg?dl=0","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_V251QmNTUXdZU1E/view?usp=sharing","DES2","Stand Alone","Complete","9/25/2016","YES","0","8","1","NO","","Pending","5","YES","0","0","YES","","",""
"","1509 Merced","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1509","Merced","560 W Olive Ave","Merced, CA 95348","1624","$4,308.00","5/31/2019","104","104","1989","$2,595.46","E7FJG","https://www.dropbox.com/s/jwlc6oemt4p1aia/1509%20Merced.jpg?dl=0","https://www.dropbox.com/s/fnlvch00f3471ye/1509%20Merced%20Inside.jpg?dl=0","GEN","Inline Strip","","","YES","0","8","0","NO","","Installed","0","NO","0","0","NO","","",""
"","1513 River Park","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1513","River Park","7684 N Blackstone Ave","Fresno, CA 93720","950","$5,854.50","12/31/2021","314","260","3232","$17,396.61","E03I5","https://www.dropbox.com/s/owgf2z2xmhs0mz2/1513%20River%20Park.jpg?dl=0","https://www.dropbox.com/s/mhfgbg7ut4fxydt/1513%20River%20Park%20Inside.jpg?dl=0","DES1s","End Cap Strip","Complete","5/31/2015","YES","0","7","0","NO","","Pending","2","NO","1","0","NO","","",""
"","1518 Turlock","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley Central","1518","Turlock","2201 Fulkerth Rd","Turlock, CA 95380","2113","$4,712.14","8/31/2020","174","192","3444","$3,490.77","W7XDE","https://www.dropbox.com/s/rjcggrxios1d0m7/1518%20Turlock%20Outside.jpg?dl=0","https://www.dropbox.com/s/1j56ki3le5fcuia/1518%20Turlock%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/29/2015","YES","0","11","0","NO","","Denied","3","YES","1","2","NO","","",""
"","1500 Briggsmore","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley North","1500","Briggsmore","1809 McHenry Ave Suite A","Modesto, CA 95350","2520","$7,468.24","4/15/2022","135","113","1628","$16,529.20","APT2F","https://www.dropbox.com/s/hajqvk1ytol21pq/1500%20Briggsmore.jpg?dl=0","https://www.dropbox.com/s/w7pslqxsev4mm54/1500%20Briggsmore%20Inside.jpg?dl=0","GEN","End Cap Strip","","","YES","0","8","0","NO","","Installed","0","NO","0","0","NO","","",""
"","1510 Modesto Oakdale","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley North","1510","Modesto Oakdale","801 Oakdale Rd Suite A-1","Modesto, CA 95355","2175","$7,006.50","12/31/2020","273","201","3899","$12,534.92","XUHI8","https://www.dropbox.com/s/hbzw2mqzq7tq3qe/1510%20Modesto%20Oakdale.jpg?dl=0","https://www.dropbox.com/s/9l0dclzy1b7tr2x/1510%20Modesto%20Oakdale%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","7/31/2014","YES","1","11","0","NO","","Installed","2","YES","1","2","NO","","",""
"","1552 Galt","WEST","NORTHERN CALIFORNIA","West Market","Central California Region","Central Valley North","1552","Galt","10420 Twin Cities Rd Suite 40","Galt, CA 95632","2400","$6,792.00","5/31/21","218","197","2721","$11,583.86","HPRAN","https://www.dropbox.com/s/f61bh6a8fb8l4oy/1552%20Galt.jpg?dl=0","https://www.dropbox.com/s/4086dsdad63e4hk/1552%20Galt%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/1/2016","YES","0","11","0","NO","","Pending","4","YES","1","2","NO","","86",""
